"123025",2019-01-07,79625.8693519566,80023,0,77985.5414295187,81266.1972743896
"123073",2019-01-08,76998.1689888936,77618,0,75361.0615124633,78635.2764653591
"123121",2019-01-09,77949.5089579124,79290,0,76314.8841120257,79584.1338037893
"123169",2019-01-10,80599.4590647399,82832,0,78962.3690388723,82236.5490906077
"123026",2019-01-07,79413.1443794827,79535,1,77759.6096379876,81066.6791209768
"123074",2019-01-08,76563.7132650575,77262,1,74910.7037864439,78216.7227436802
"123170",2019-01-10,80059.2608522719,82041,1,78406.4301374141,81712.0915671287
"123122",2019-01-09,77649.0448836113,78980,1,75999.3492238429,79298.7405433804
"123027",2019-01-07,79732.2202602057,79959,2,78048.8345302565,81415.6059901414
"123075",2019-01-08,76907.8695755172,77447,2,75224.9470149596,78590.792136082
"123171",2019-01-10,80013.6784182961,82136,2,78331.0617964869,81696.2950401079
"123123",2019-01-09,77672.1021417247,79077,2,75992.7664573294,79351.4378261123
"123076",2019-01-08,75824.8765878162,76334,3,74091.2164725537,77558.5367031067
"123028",2019-01-07,78837.8621448691,78764,3,77103.6804639752,80572.0438257816
"123172",2019-01-10,78859.408396745,80853,3,77126.0523218066,80592.7644716817
"123124",2019-01-09,76562.3215689506,78074,3,74832.1734374271,78292.4697004699
"123077",2019-01-08,75052.8910594341,75738,4,73235.8467165456,76869.935402316
"123029",2019-01-07,78113.3888266918,77970,4,76295.8235756637,79930.954077738
"123173",2019-01-10,78076.5349291742,80121,4,76259.6515578988,79893.4183004556
"123078",2019-01-08,74628.9610312108,75213,5,72765.9358587925,76491.9862036341
"123030",2019-01-07,77307.3178052283,77454,5,75443.8042517534,79170.8313586983
"123174",2019-01-10,77325.6009863278,79382,5,75462.8974995556,79188.3044730958
"123125",2019-01-09,76009.8904463064,77637,4,74196.3295935459,77823.4512990714
"123079",2019-01-08,73281.389212784,73940,6,71390.3095224635,75172.4689031002
"123031",2019-01-07,75875.9381826855,75997,6,73984.322827044,77767.5535383261
"123175",2019-01-10,76067.1272508495,78000,6,74176.1484345282,77958.106067174
"123126",2019-01-09,75542.2970804536,77029,5,73682.4384567039,77402.1557041933
"123080",2019-01-08,72707.2152405683,73310,7,70784.9850679673,74629.4454131658
"123032",2019-01-07,75397.6244100013,75447,7,73473.4823957547,77321.766424245
"123176",2019-01-10,75438.959110375,77581,7,73516.8838795256,77361.0343412367
"123033",2019-01-07,74896.6496095,75098,8,72931.0624650643,76862.2367539292
"123081",2019-01-08,72285.1171903118,72761,8,70321.7423392541,74248.4920413627
"123127",2019-01-09,74272.7410197545,75944,6,72384.5165867155,76160.9654527876
"123177",2019-01-10,75024.0154728386,77434,8,73061.0040377148,76987.0269079566
"123034",2019-01-07,74754.0380173817,74800,9,72758.313431553,76749.7626031895
"123082",2019-01-08,71992.3157994471,72927,9,69999.5089572626,73985.1226416157
"123128",2019-01-09,73659.0143590852,75417,7,71738.8696219216,75579.1590962504
"123035",2019-01-07,75093.2838892797,75265,10,73075.3348089089,77111.23296967
"123178",2019-01-10,75096.1748193911,77225,9,73103.5331270689,77088.8165117032
"123129",2019-01-09,73221.1237704469,74967,8,71260.1989881617,75182.0485527297
"123083",2019-01-08,72426.9946030823,72984,10,70412.9013883422,74441.0878178312
"123036",2019-01-07,77033.5664324332,77001,11,75037.9785773617,79029.1542874825
"123130",2019-01-09,73331.4142843861,75109,9,71341.5901850191,75321.2383837639
"123179",2019-01-10,75722.3010126108,77712,10,73708.2961913241,77736.305833896
"123037",2019-01-07,79247.8204909797,79243,12,77320.8679943682,81174.7729875935
"123131",2019-01-09,73611.5903587532,75600,10,71600.1832315966,75622.9974859186
"123180",2019-01-10,77678.9047138193,79955,11,75688.2289501868,79669.5804774481
"123084",2019-01-08,74193.7475116196,74866,11,72202.7999591904,76184.6950640353
"123038",2019-01-07,80659.5657235407,80501,13,78791.158726968,82527.9727201107
"123181",2019-01-10,80527.6940613484,82969,12,78603.9234395319,82451.4646831777
"123132",2019-01-09,75478.9172761384,77272,11,73490.5939227056,77467.24062955
"123085",2019-01-08,76508.8590650659,77624,12,74585.1683251983,78432.5498049186
"123039",2019-01-07,81906.1911034877,82076,14,80129.792663408,83682.5895435821
"123182",2019-01-10,82355.05365298,84786,13,80488.9631513611,84221.1441545474
"123133",2019-01-09,78352.1959599376,80127,12,76430.2225112815,80274.1694085898
"123086",2019-01-08,77739.4565746257,78922,13,75874.1535308751,79604.7596183847
"123040",2019-01-07,81159.8343779779,81127,15,79507.6096750422,82812.0590809097
"123183",2019-01-10,83863.5659959823,86456,14,82087.4155661343,85639.7164258279
"123134",2019-01-09,79893.8718321378,82091,13,78029.8014024973,81757.94226171
"123087",2019-01-08,79215.3075760282,80415,14,77440.2964486637,80990.3187033815
"123041",2019-01-07,79058.6284055852,78673,16,77503.3837725165,80613.8730387272
"123184",2019-01-10,83181.6589946357,85553,15,81525.2248068235,84838.0931824482
"123135",2019-01-09,81093.1114189824,83518,14,79321.9342727675,82864.2885651968
"123088",2019-01-08,78559.3425905523,79723,15,76903.9057327202,80214.7794483871
"123042",2019-01-07,76719.5416090916,76303,17,75253.7493731056,78185.3338450632
"123185",2019-01-10,81177.8218622733,83345,16,79621.4171648787,82734.2265596484
"123136",2019-01-09,80660.8758353206,82771,15,79005.9689920033,82315.7826786243
"123089",2019-01-08,76197.7946616724,77552,16,74643.8080171733,77751.7813061937
"123043",2019-01-07,74386.8627243539,74062,18,72991.1537552603,75782.5716934406
"123186",2019-01-10,79058.1371239845,81021,17,77589.8969593343,80526.3772886403
